year,global_anomaly,nh_anomaly,sh_anomaly,global_lower_ci,global_upper_ci
1959,-0.0465269,0.0479469,-0.1410007,-0.1120547,0.019001
1960,-0.1133706,0.0025441,-0.2292853,-0.1688573,-0.0578838
1961,-0.0144009,-0.0017662,-0.0270356,-0.0647733,0.0359715
1962,-0.058836,0.0524957,-0.1701678,-0.112571,-0.005101
1963,-0.0314028,0.0760515,-0.1388571,-0.0840645,0.0212588
1964,-0.3021192,-0.2563258,-0.3479125,-0.3493001,-0.2549382
1965,-0.2022982,-0.1928753,-0.2117211,-0.2542261,-0.1503703
1966,-0.1453637,-0.0852391,-0.2054882,-0.1949634,-0.095764
1967,-0.1157076,-0.0378333,-0.1935819,-0.1604822,-0.0709329
1968,-0.1639634,-0.1364363,-0.1914905,-0.210318,-0.1176087
1969,-0.0277953,-0.0988945,0.0433039,-0.0681892,0.0125985
1970,-0.0840156,-0.1224802,-0.045551,-0.1223451,-0.0456861
1971,-0.2040815,-0.2274064,-0.1807566,-0.2423057,-0.1658573
1972,-0.0901786,-0.2475476,0.0671904,-0.1270559,-0.0533013
1973,0.0524767,0.0223401,0.0826134,0.0144479,0.0905056
1974,-0.1686828,-0.2479124,-0.0894532,-0.2068821,-0.1304836
1975,-0.1059736,-0.1078239,-0.1041234,-0.1434927,-0.0684546
1976,-0.2108055,-0.2491932,-0.1724177,-0.2520126,-0.1695984
1977,0.1050955,0.0798115,0.1303796,0.0629722,0.1472189
1978,0.0055048,-0.0126279,0.0236374,-0.0341593,0.0451689
1979,0.0881039,0.02867,0.1475378,0.0592506,0.1169572
1980,0.1915224,0.134917,0.2481279,0.158954,0.2240908
1981,0.2469666,0.3367159,0.1572173,0.2157265,0.2782067
1982,0.0309671,-0.0127829,0.0747171,-0.0095293,0.0714635
1983,0.2208461,0.1910593,0.2506328,0.1853214,0.2563707
1984,0.0460378,-0.0302401,0.1223158,0.0120522,0.0800235
1985,0.0459882,-0.0566947,0.1486712,0.0129138,0.0790626
1986,0.092321,0.0584771,0.1261649,0.0599703,0.1246717
1987,0.2382017,0.191516,0.2848873,0.2074679,0.2689354
1988,0.2776119,0.3115535,0.2436702,0.2426479,0.3125759
1989,0.1748962,0.2133573,0.1364351,0.1395283,0.2102642
1990,0.3550432,0.4582623,0.2518242,0.3198399,0.3902466
1991,0.3338096,0.3806716,0.2869477,0.298206,0.3694132
1992,0.1200261,0.0932605,0.1467917,0.0864635,0.1535887
1993,0.1610914,0.1888169,0.1333658,0.1227546,0.1994281
1994,0.2274403,0.3189046,0.135976,0.1910579,0.2638226
1995,0.3711327,0.5633549,0.1789105,0.3379535,0.4043119
1996,0.2708395,0.2850545,0.2566245,0.2385855,0.3030935
1997,0.4150713,0.5267665,0.3033761,0.3825953,0.4475474
1998,0.571961,0.7085116,0.4354103,0.5389147,0.6050072
1999,0.3180378,0.4682419,0.1678337,0.2854227,0.3506529
2000,0.3255088,0.4807369,0.1702807,0.2927688,0.3582488
2001,0.4834504,0.6223341,0.3445668,0.4496574,0.5172435
2002,0.5371589,0.6635859,0.4107319,0.506935,0.5673828
2003,0.5382795,0.7141187,0.3624403,0.5048124,0.5717467
2004,0.4624251,0.629325,0.2955253,0.4320566,0.4927937
2005,0.6023073,0.8282322,-0.3763824,0.5710688,0.6335457
2006,0.5663244,0.7872071,-0.3454417,0.5350152,0.5976337
2007,0.5855141,0.8249416,-0.3460867,0.5535725,0.6174558
2008,0.4591897,0.663797,-0.2545824,0.4267213,0.4916581
2009,0.5900077,0.6985061,-0.4815093,0.5591419,0.6208735
2010,0.6736475,0.9117935,-0.4355015,0.6430153,0.7042797
2011,0.532617,0.7202629,-0.3449712,0.5016968,0.5635374
2012,0.5715117,0.7761978,-0.3668256,0.5398129,0.6032106
2013,0.6186433,0.7709477,-0.4663389,0.5831598,0.6541268
2014,0.6678591,0.9023243,-0.4333939,0.6353674,0.7003507
2015,0.8179505,1.1223384,-0.5135626,0.7842931,0.8516078
2016,0.9248192,1.2439318,0.6057067,0.8935444,0.956094
2017,0.8364568,1.1062802,0.5666333,0.8044255,0.868488
2018,0.7531986,0.9515114,0.5548856,0.7217454,0.7846517
2019,0.8873432,1.1530893,0.6215972,0.8540397,0.9206467
2020,0.9162438,1.2767565,0.5557312,0.8820553,0.9504324
2021,0.7673127,1.0894084,0.445217,0.7323847,0.8022407
2022,0.8018433,1.1055204,0.4981663,0.7647978,0.838889
2023,1.1098045,1.4211755,0.7984337,1.0728443,1.1467648
2024,1.1694856,1.5291741,0.8097971,1.1303132,1.208658
2025,1.0498022,1.3330029,0.7666014,1.0103656,1.0892388
